,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,2022-04-10 19:09:54,38.5167,-28.7,55.8,71,40,28.77,scattered clouds
1,Saint-Philippe,RE,2022-04-10 19:09:54,-21.3585,55.7679,78.39,83,79,13.31,light rain
2,Barrow,US,2022-04-10 19:09:55,71.2906,-156.7887,-5.78,77,100,12.66,overcast clouds
3,Saint-Pierre,RE,2022-04-10 19:09:55,-21.3393,55.4781,78.48,82,75,21.85,broken clouds
4,Bluff,NZ,2022-04-10 19:09:55,-46.6,168.3333,47.44,86,6,13.29,clear sky
5,Kruisfontein,ZA,2022-04-10 19:09:56,-34.0033,24.7314,65.88,90,27,6.53,scattered clouds
6,Grand Gaube,MU,2022-04-10 19:09:56,-20.0064,57.6608,77.4,87,17,3.0,few clouds
7,Alexandria,EG,2022-04-10 19:09:56,31.2156,29.9553,63.37,74,0,7.96,clear sky
8,Butaritari,KI,2022-04-10 19:09:57,3.0707,172.7902,80.49,76,98,8.72,light rain
9,Albany,US,2022-04-10 19:09:53,42.6001,-73.9662,45.91,59,99,14.5,overcast clouds
10,Ust-Kulom,RU,2022-04-10 19:09:57,61.6864,53.6902,39.22,99,100,7.52,overcast clouds
11,New Norfolk,AU,2022-04-10 19:05:38,-42.7826,147.0587,53.65,51,100,1.99,overcast clouds
12,Chuy,UY,2022-04-10 19:05:13,-33.6971,-53.4616,74.03,69,41,15.3,scattered clouds
13,Avarua,CK,2022-04-10 19:04:58,-21.2078,-159.775,82.45,83,40,5.75,scattered clouds
14,Arrifes,PT,2022-04-10 19:07:31,37.7667,-25.7,57.45,55,20,21.85,few clouds
15,Sinjar,IQ,2022-04-10 19:09:58,36.3209,41.8754,66.92,33,68,6.26,broken clouds
16,Lincoln,US,2022-04-10 19:07:43,40.8,-96.667,67.89,33,0,19.57,clear sky
17,Ushuaia,AR,2022-04-10 19:06:22,-54.8,-68.3,46.06,57,40,2.3,scattered clouds
18,Gravdal,NO,2022-04-10 19:09:58,68.1214,13.5031,37.63,68,83,11.56,broken clouds
19,Vaini,TO,2022-04-10 19:09:59,-21.2,-175.2,77.16,94,40,6.91,scattered clouds
20,Merauke,ID,2022-04-10 19:09:59,-8.4667,140.3333,78.04,89,93,5.73,overcast clouds
21,Carutapera,BR,2022-04-10 19:09:59,-1.195,-46.02,78.1,87,100,4.05,overcast clouds
22,Kodiak,US,2022-04-10 19:10:00,57.79,-152.4072,38.71,35,0,16.11,clear sky
23,Severo-Kurilsk,RU,2022-04-10 19:10:00,50.6789,156.125,28.87,87,99,16.17,light snow
24,Faanui,PF,2022-04-10 19:10:00,-16.4833,-151.75,82.62,72,6,16.31,clear sky
25,Rikitea,PF,2022-04-10 19:10:01,-23.1203,-134.9692,78.85,75,0,17.58,light rain
26,Port Keats,AU,2022-04-10 19:10:01,-14.25,129.55,75.49,74,11,3.22,few clouds
27,Bredasdorp,ZA,2022-04-10 19:10:01,-34.5322,20.0403,65.07,86,0,13.11,clear sky
28,Adrian,US,2022-04-10 19:10:02,41.8975,-84.0372,57.42,43,0,5.75,clear sky
29,Katsuura,JP,2022-04-10 19:10:02,35.1333,140.3,61.52,90,100,12.68,overcast clouds
30,Atuona,PF,2022-04-10 19:10:03,-9.8,-139.0333,78.94,76,15,16.49,few clouds
31,Punta Arenas,CL,2022-04-10 19:10:03,-53.15,-70.9167,50.11,50,0,12.66,clear sky
32,Opuwo,NA,2022-04-10 19:10:03,-18.0607,13.84,72.59,36,2,3.62,clear sky
33,Yarmouth,US,2022-04-10 19:10:04,41.7057,-70.2286,57.61,55,100,10.36,overcast clouds
34,Ahuimanu,US,2022-04-10 19:10:04,21.4447,-157.8378,78.51,69,75,14.97,broken clouds
35,East London,ZA,2022-04-10 19:05:35,-33.0153,27.9116,65.84,91,100,18.28,moderate rain
