City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2022-04-10 14:55:24,38.5167,-28.7,55.8,76,40,27.63
1,Ushuaia,AR,2022-04-10 14:55:24,-54.8,-68.3,44.22,61,0,4.61
2,Barrow,US,2022-04-10 14:55:25,71.2906,-156.7887,-6.83,93,97,8.93
3,Chuy,UY,2022-04-10 14:55:25,-33.6971,-53.4616,76.62,58,3,11.63
4,Kavaratti,IN,2022-04-10 14:55:25,10.5669,72.642,83.97,75,100,8.75
5,Maxixe,MZ,2022-04-10 14:55:26,-23.8597,35.3472,75.02,94,75,5.01
6,Marathon,US,2022-04-10 14:55:26,44.9,-89.7668,47.19,45,40,8.05
7,Port Alfred,ZA,2022-04-10 14:55:26,-33.5906,26.891,66.18,89,100,7.0
8,Caravelas,BR,2022-04-10 14:55:27,-17.7125,-39.2481,88.03,54,3,9.44
9,Midland,US,2022-04-10 14:55:27,31.9974,-102.0779,77.13,34,0,10.36
10,Mataura,NZ,2022-04-10 14:54:43,-46.1927,168.8643,42.51,99,18,2.39
11,San Ramon,US,2022-04-10 14:55:27,37.7799,-121.978,57.27,47,60,5.01
12,Marzuq,YE,2022-04-10 14:55:28,14.4,46.4667,79.32,29,0,18.7
13,Khatanga,RU,2022-04-10 14:52:51,71.9667,102.5,4.53,98,99,3.65
14,Hobart,AU,2022-04-10 14:55:28,-42.8794,147.3294,56.05,66,100,6.91
15,Yicheng,CN,2022-04-10 14:55:28,31.3705,119.8703,63.9,77,0,7.67
16,Nanortalik,GL,2022-04-10 14:55:29,60.1432,-45.2371,32.43,72,100,3.09
17,Mandiana,GN,2022-04-10 14:55:29,10.6333,-8.6833,106.23,15,97,3.44
18,Butaritari,KI,2022-04-10 14:55:29,3.0707,172.7902,80.49,76,100,8.93
19,Busca,IT,2022-04-10 14:55:30,44.5181,7.4743,61.65,24,12,6.91
20,Yazman,PK,2022-04-10 14:55:30,29.1212,71.7446,97.54,7,7,10.42
21,Cape Town,ZA,2022-04-10 14:51:11,-33.9258,18.4232,81.27,34,0,13.8
22,Talnakh,RU,2022-04-10 14:55:30,69.4865,88.3972,-2.83,99,96,0.76
23,Kerema,PG,2022-04-10 14:55:31,-7.9631,145.7785,78.89,91,99,4.61
24,New Norfolk,AU,2022-04-10 14:55:31,-42.7826,147.0587,55.71,48,68,3.0
25,Torbay,CA,2022-04-10 14:50:22,47.6666,-52.7314,48.27,92,75,13.8
26,Nouadhibou,MR,2022-04-10 14:55:31,20.931,-17.0347,67.98,73,28,20.71
27,Yellowknife,CA,2022-04-10 14:53:04,62.456,-114.3525,9.41,85,40,18.41
28,Okhotsk,RU,2022-04-10 14:55:32,59.3833,143.3,22.86,89,100,8.52
29,Kloulklubed,PW,2022-04-10 14:55:32,7.0419,134.2556,81.1,84,100,23.71
30,Rosario,AR,2022-04-10 14:55:32,-32.9468,-60.6393,80.08,62,0,9.22
31,Saskylakh,RU,2022-04-10 14:55:33,71.9167,114.0833,-15.09,100,12,2.93
32,Ilulissat,GL,2022-04-10 14:55:33,69.2167,-51.1,18.0,64,100,0.22
33,Bredasdorp,ZA,2022-04-10 14:55:33,-34.5322,20.0403,69.53,68,0,18.48
34,Iskateley,RU,2022-04-10 14:55:34,67.6803,53.1512,35.2,100,100,11.83
35,Abu Zabad,SD,2022-04-10 14:55:34,12.35,29.25,103.26,12,27,8.79
36,Nikolskoye,RU,2022-04-10 14:53:25,59.7035,30.7861,46.87,74,92,10.83
37,Punta Arenas,CL,2022-04-10 14:55:34,-53.15,-70.9167,46.51,57,0,8.05
38,Severo-Kurilsk,RU,2022-04-10 14:55:35,50.6789,156.125,30.45,81,100,16.53
39,Kavieng,PG,2022-04-10 14:55:35,-2.5744,150.7967,82.15,76,100,11.25
40,Santa Cruz,BO,2022-04-10 14:52:12,-17.8,-63.1667,81.86,78,75,18.41
41,Puerto Ayora,EC,2022-04-10 14:54:42,-0.7393,-90.3518,80.56,77,91,8.55
42,Hermanus,ZA,2022-04-10 14:54:46,-34.4187,19.2345,75.79,46,0,16.31
43,Inongo,CD,2022-04-10 14:55:36,-1.95,18.2667,78.78,75,99,3.94
44,Whitianga,NZ,2022-04-10 14:55:36,-36.8333,175.7,57.72,88,8,3.51
45,Rikitea,PF,2022-04-10 14:50:15,-23.1203,-134.9692,78.67,74,1,16.28
46,Aswan,EG,2022-04-10 14:56:36,24.0934,32.907,105.1,9,0,5.75
47,Saint-Philippe,RE,2022-04-10 14:54:49,-21.3585,55.7679,78.39,84,60,14.12
48,Esperance,AU,2022-04-10 14:56:37,-33.8667,121.9,62.44,84,8,15.12
49,Derzhavinsk,KZ,2022-04-10 14:56:37,51.1,66.3167,51.04,61,96,23.0
50,Busselton,AU,2022-04-10 14:52:51,-33.65,115.3333,57.13,72,97,5.1
51,Pisco,PE,2022-04-10 14:56:37,-13.7,-76.2167,70.02,83,96,5.1
52,Jamestown,US,2022-04-10 14:56:38,42.097,-79.2353,35.71,10,100,14.92
53,Sao Filipe,CV,2022-04-10 14:54:28,14.8961,-24.4956,74.61,71,15,15.95
54,Luderitz,NA,2022-04-10 14:54:41,-26.6481,15.1594,75.42,50,0,15.32
